"Browse the menu", "Navegue pelo cardápio"
"Healthy and delicious dishes that make your day easier and fit into your routine.", "Pratos saudáveis e deliciosos que facilitam seu dia e se encaixam na sua rotina."
"Build your combo","Monte seu Combo"
"Choose your favorite dishes. The more you buy, the less you pay.","Escolha seus pratos favoritos. Quanto mais você compra, menos você paga."
"Schedule delivery","Agendar a entrega"
"Deliveries within 24 hours. You choose the day and time to receive it at your door.","Entregas em 24 horas. Você escolhe o dia e horário para receber na porta da sua casa."
"Easy, zero effort!","Fácil, zero esforço!"
"You just heat up. From the freezer to the oven or microwave. Ready in a few minutes.","Você apenas esquenta. Do freezer para o forno ou micro-ondas. Pronto em poucos minutos."
"Shop the New. Outerwear Collection","Compre o novo. Coleção de agasalhos"
"Accessories to Keep Your Style Game Strong","Acessórios para manter seu estilo de jogo forte"
"Mega elastic","Mega Elástico"
"Draw the curves of the body.","Desenha as curvas do corpo."
"Thermal","Térmica"
"Do not impose the climate, you are impeccable.","Não imposta o clima, você impecável."
"Lengths","Comprimentos"
"The perfect no-adjustment jeans.","O jeans perfeito sem ajustes."
"Does not mark","Não marca"
"skin imperfections.","as imperfeições da pele."
"Intense black","Preto intenso"
"The best bet for your closet.","A melhor aposta para o seu closet."
"Shop Now","Compre agora"
"How it works","Como funciona"
"Discover our differences","Conheça nossos diferenciais"
